,Question,Answer,generated_answers
0,What is Red Hat OpenShift Service on AWS (ROSA)?,"Red Hat Openshift Service on AWS (ROSA) is a fully-managed turnkey application platform that allows you to focus on what matters most, delivering value to your customers by building and deploying applications. Red Hat SRE experts manage the underlying platform so you don’t have to worry about the complexity of infrastructure management.","Red Hat OpenShift Service on AWS (ROSA) is a fully-managed turnkey application platform that provides a comprehensive set of features and capabilities for deploying and managing containerized applications. ROSA is built on top of Kubernetes and provides additional features and capabilities that are not available in Kubernetes, such as automated cluster operations, over-the-air platform upgrades, container management, automation (Operators), networking, load balancing, service mesh, CI/CD, firewall, monitoring, registry, authentication, and authorization capabilities. For more information, please refer to the following links: 
- [ROSA Webpage](https://www.openshift.com/products/amazon-openshift)
- [ROSA Workshop](https://www.rosaworkshop.io)
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)"
1,Where can I go to get more information/details?,"- [ROSA Webpage](https://www.openshift.com/products/amazon-openshift)
- [ROSA Workshop](https://www.rosaworkshop.io)
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)","You can find more information about obtaining support for Red Hat OpenShift Service on AWS (ROSA) at the following links: 
- [ROSA Home Page](../../#resources)
- [Adding Support Contacts](https://docs.openshift.com/rosa/4.5/managing_clusters/managing_cluster_support_contacts.html)
- [Red Hat Support](https://www.redhat.com/en/services/support)"
2,What are the benefits of Red Hat OpenShift Service on AWS (Key Features)?,"- **Native AWS service:** Access and use Red Hat OpenShift on demand with a self-service on-boarding experience through the AWS management console.
- **Flexible, consumption-based pricing:** Scale as per your business needs and pay as you go with flexible pricing with an on-demand hourly or annual billing model.
- **Single bill for Red Hat OpenShift & AWS usage:**  Customers will receive a single bill from AWS for both Red Hat OpenShift and AWS consumption.
- **Fully integrated support experience:** Installation, management, maintenance, and upgrades are performed by Red Hat site reliability engineers (SRE) with joint Red Hat and Amazon support and a 99.95% SLA.
- **AWS service integration:** AWS has a robust portfolio of cloud services, such as compute, storage, networking, database, analytics, and machine learning, which are directly accessible via Red Hat OpenShift Service on AWS. This makes it easier to build, operate, and scale globally on demand through a familiar management interface.
Additional key features of Red Hat OpenShift Service on AWS:
- **Maximum Availability:** Deploy clusters across multiple Availability Zones in supported Regions to maximize availability to maintain high availability for your most demanding mission-critical applications and data.
- **Cluster node scaling:** Easily add or remove compute nodes to match resource demand
- **Optimized clusters:** Choose from memory-optimized, compute-optimized, or general purpose EC2 instance types, with clusters sized to meet your needs. See [AWS compute types](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-aws-compute-types_rosa-service-definition).
- **Global availability:** Please refer to the [product regional availability page](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-regions-az_rosa-service-definition) page for an up-to-date view of where Red Hat OpenShift Service on AWS is available.","
You can find answers to frequently asked questions about Red Hat OpenShift Service on AWS (ROSA) at the following link: https://docs.openshift.com/rosa/faq/index.html. This page provides information on topics such as pricing, support, and more."
3,What are the differences between Red Hat OpenShift Service on AWS and Kubernetes?,"Everything you need to deploy and manage containers is bundled with ROSA, including container management, automation (Operators), networking, load balancing, service mesh, CI/CD, firewall, monitoring, registry, authentication, and authorization capabilities. These components are tested together for unified operations as a complete platform. Automated cluster operations, including over-the-air platform upgrades, further enhance your Kubernetes experience.","
You can find answers to frequently asked questions about Red Hat OpenShift Service on AWS (ROSA) at the following link: https://docs.openshift.com/rosa/faq/index.html. This page provides answers to questions about ROSA's features, pricing, and support."
4,What exactly am I responsible for and what is Red Hat / AWS responsible for?,"In short, anything that is related to deploying the cluster or keeping the cluster running will be Red Hat’s or AWS’s responsibility, and anything relating to the applications, users, or data is the customers responsibility.  Please see our [responsibility matrix](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-policy-responsibility-matrix.html) for more details.","Red Hat OpenShift Service on AWS (ROSA) is a fully-managed turnkey application platform that allows you to focus on what matters most, delivering value to your customers by building and deploying applications. Red Hat SRE experts manage the underlying platform so you don’t have to worry about the complexity of infrastructure management. 

When you provision ROSA clusters, you will incur the infrastructure and OpenShift charges at the pay-as-you-go hourly rate. Red Hat and AWS are responsible for the monitoring and maintenance of the ROSA cluster, while the customer is responsible for the applications, workloads, and data that they deploy to the cluster. For more information, please refer to our [responsibility matrix](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-policy-responsibility-matrix.html) and [pricing page](https://www.openshift.com/products/amazon-openshift/pricing)."
5,How does it work?,"Red Hat OpenShift Service on AWS (ROSA) has infrastructure components (virtual machines, storage disks, etc.) and a software component (OpenShift). When you provision ROSA clusters you will incur the infrastructure and OpenShift charges at the pay-as-you-go hourly rate. Refer to the Red Hat OpenShift Service on AWS pricing page for more information. You can also do 1 or 3 year commits for even deeper discounts.","Red Hat OpenShift Service on AWS (ROSA) is a fully-managed turnkey application platform that allows you to focus on what matters most, delivering value to your customers by building and deploying applications. Red Hat SRE experts manage the underlying platform so you don’t have to worry about the complexity of infrastructure management.

ROSA provides a secure, scalable, and reliable platform for running applications on AWS. It is designed to make it easy to deploy and manage applications on AWS, with features such as automated scaling, automated patching, and integrated logging and monitoring. ROSA also provides a unified experience for developers, allowing them to use the same tools and processes to develop and deploy applications on AWS as they would on-premises.

You can find more information at the following links:
- [ROSA Webpage](https://www.openshift.com/products/amazon-openshift)
- [ROSA Workshop](https://www.rosaworkshop.io)
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)"
6,Where can I see a roadmap or make feature requests for the service?,You can visit our [ROSA roadmap](https://red.ht/rosa-roadmap) to stay up to date with the status of features currently in development. Please feel free to open a new issue if you have any suggestions for the product team.,"Red Hat OpenShift Service on AWS (ROSA) does not currently have a roadmap or feature request system. However, you can get support from AWS Support as long as you have a valid AWS Support contract and have enabled AWS Business, Enterprise On-Ramp, or Enterprise support plans. To enable an AWS Support plan, see [How do I sign up for an AWS Support plan?](http://aws.amazon.com/premiumsupport/knowledge-center/sign-up-support/). For information about creating an AWS Support case, see the [AWS support case](https://docs.aws.amazon.com/awssupport/latest/user/case-management.html) documentation."
7,How is the pricing of Red Hat OpenShift Service on AWS calculated?,"See here for pricing information: [ROSA Pricing](https://aws.amazon.com/rosa/pricing/)
Red Hat OpenShift Service on AWS has three components to its cost.
  - First there is an hourly cluster fee, which is $0.03/cluster/hour (or approximately $263/cluster/year.)
  - The second component is the pricing per worker node, which is:
      - $0.171 per 4vCPU/hour for on-demand consumption (or approximately $1498/node/year.)
      - $0.114 per 4vCPU/hour for a 1-year RI commitment (or approximately $998/node/year.)
      - $0.076 per 4vCPU/hour for a 3-year RI commitment (or approximately $665/node/year.)
  - Third, are the underlying AWS infrastructure costs, like EC2 instances, network traffic, S3 buckets, etc. See here for [provisioned resources](https://docs.openshift.com/rosa/rosa_planning/rosa-sts-aws-prereqs.html#rosa-aws-policy-provisioned_rosa-sts-aws-prereqs).
_*OpenShift pricing for Red Hat OpenShift Service on AWS is the same for all supported AWS regions. Pricing listed above does not include infrastructure expenses._
**ON-DEMAND PRICING EXAMPLE**
If you have a 10 worker node cluster of type m5.xlarge, running on-demand for a year, the OpenShift cost for Red Hat OpenShift Service on AWS would be approximately:
$0.03 /cluster/hour X 1 cluster X 24 hours/day X 365.25 days/year = $263<br>
$0.171 /node/hour X 10 worker nodes X 24 hours/day X 365 days/year = $14,969.60<br>
Your total cost in this case would be $15,242<br>
_Pricing for Red Hat OpenShift Service on AWS is in addition to the costs of Amazon EC2 for control plane, infra & worker nodes and other AWS services used._","
Red Hat OpenShift Service on AWS (ROSA) provides a number of key features and benefits, including:

- Native AWS service: Access and use Red Hat OpenShift on demand with a self-service on-boarding experience through the AWS management console.
- Flexible, consumption-based pricing: Scale as per your business needs and pay as you go with flexible pricing with an on-demand hourly or annual billing model.
- Single bill for Red Hat OpenShift & AWS usage: Customers will receive a single bill from AWS for both Red Hat OpenShift and AWS consumption.
- Fully integrated support experience: Installation, management, maintenance, and upgrades are performed by Red Hat site reliability engineers (SRE) with joint Red Hat and Amazon support and a 99.95% SLA.

For more information, please refer to the following links:
- [ROSA Webpage](https://www.openshift.com/products/amazon-openshift)
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)
- [ROSA Pricing](https://aws.amazon.com/rosa/pricing/)"
8,"When pricing out my EC2 instances, do I need to use RHEL for the operating system?","No, being that ROSA includes Red Hat Enterprise Linux CoreOS (RHCOS) as the operating system, you only need to choose Linux.
For clarity, ROSA cluster creation handles the setup of all the RHCOS nodes entirely.","Yes, additional MachinePools can be configured with Spot instances. Using Amazon EC2 Spot instances allows you to take advantage of unused capacity at a significant cost savings. Please see the [Creating a machine pool](https://docs.openshift.com/rosa/rosa_cluster_admin/rosa_nodes/rosa-managing-worker-nodes.html#creating_machine_pools_cli_rosa-managing-worker-nodes) section in the documentation for more information."
9,Does Red Hat OpenShift Service on AWS qualify for the AWS EDP Program?,"Yes, Red Hat OpenShift Service on AWS fully qualifies for 100% of the spend on the AWS Enterprise Discount Program.","Yes, Red Hat OpenShift Service on AWS qualifies for the AWS EDP Program. The program requires customers to meet certain AWS service quotas in order to run an Red Hat OpenShift Service on AWS cluster. These quotas include:
- EC2 instances
- EBS volumes
- VPCs
- Security Groups
- Subnets
- IAM roles
- Route tables
- Network ACLs
- Elastic Load Balancing
- Amazon CloudWatch
- Amazon CloudFormation
- Amazon S3
- Amazon RDS
- Amazon ElastiCache
- Amazon DynamoDB
- Amazon SNS
- Amazon SQS
- Amazon ECS
- Amazon ECR
- Amazon EKS

For more information, please refer to the [AWS EDP Program Documentation](https://aws.amazon.com/partners/enterprise-discount-program/)."
